gitgdate,time,client_ip,port,query_domain,record_type,flag,nameserver_ip
1591920000000,27732324,95.175.80.246,59416,fza.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732327,34.231.70.109,57529,jfN.AC.LK,NS,-E(0)DC,203.94.66.129
1591920000000,27732329,34.223.45.143,6449,uom.lk,TXT,-E(0)DC,203.94.66.129
1591920000000,27732331,2406:c00:0:1::4,49554,m.nic.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732333,2406:c00:0:1::4,35276,l.nic.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27732335,2404:6800:4003:c06::104,37546,etisalat.lk,NS,-E(0)DC,2402:d000:100c::129
1591920000000,27732352,208.113.157.102,48219,s2.ns.slt.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732355,193.181.234.37,33411,giikut.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27732359,2a02:1800:110::43:2,34690,zfjke.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27732390,46.21.103.12,40996,silverteach.lk,NS,+,203.94.66.129
1591920000000,27732390,2a03:2880:3011:5fc1:face:b00c:0:fc0,12720,ou.ac.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27732402,185.129.26.135,35261,innovating-emarketing.lk,NS,+E(0),203.94.66.129
1591920000000,27732411,193.234.165.45,32972,giikuyse.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27732411,210.15.244.30,43794,www.newsfirst.lk,A,-,203.94.66.129
1591920000000,27732415,2620:119:50c0:207::225,48394,sltnet.lk,DS,-E(0)D,2402:d000:100c::129
1591920000000,27732417,159.69.157.209,45195,silvermeals.lk,NS,+,203.94.66.129
1591920000000,27732420,108.162.236.123,65308,wow.lk,A,-E(0)D,203.94.66.129
1591920000000,27732421,202.179.32.4,45719,ac.lk,DS,-E(0)DC,203.94.66.129
1591920000000,27732422,202.179.32.4,61793,ac.lk,DS,-E(0)DC,203.94.66.129
1591920000000,27732427,202.179.32.4,15012,ns1.ac.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732427,68.114.47.99,20570,ns1.ac.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732427,103.16.205.183,42801,provider.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732429,2001:1890:1ff:9c6:12:121:117:159,3573,ns2.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27732429,2400:cb00:85:1024::ac44:5509,22175,hirunews.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27732431,130.207.129.209,48095,abey.lk,A,-,203.94.66.129
1591920000000,27732434,68.114.47.110,39357,o16m0.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732434,68.114.47.109,57937,o16m0.lk,AAAA,-E(0)DC,203.94.66.129
1591920000000,27732437,185.212.169.250,43407,www.zz--icann-monitoring.lk,A,-E(0)D,203.94.66.129
1591920000000,27732443,139.59.16.60,47017,truckmotorservice.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732461,46.21.103.12,39578,hdcra.com.lk,NS,+,203.94.66.129
1591920000000,27732472,3.233.239.157,51006,cPCONTACtS.bioteCH.EDu.LK,A,-E(0)DC,203.94.66.129
1591920000000,27732475,2404:4408:5::b9,25114,s1.ns.slt.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732476,95.216.159.208,51678,hdqwjlxx.com.lk,NS,+,203.94.66.129
1591920000000,27732482,2001:ac8:37:8:1298:36ff:fe9f:ccc9,48870,www.zz--icann-monitoring.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27732500,95.216.159.208,44146,silverleaflawfirm.lk,NS,+,203.94.66.129
1591920000000,27732500,35.171.100.166,64920,lms.iesl.lk,A,-E(0)DC,203.94.66.129
1591920000000,27732509,2c0f:fce8:4000:1002::2,44680,www.zz--icann-monitoring.lk,A,-E(0)D,2402:d000:100c::129
1591920000000,27732517,2001:1890:1ff:8c8:151:164:110:60,3278,ns1.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27732518,66.185.123.243,44159,milaherbals.lk,DS,-E(0)D,203.94.66.129
1591920000000,27732523,129.232.171.202,44306,www.zz--icann-monitoring.lk,A,-E(0)D,203.94.66.129
1591920000000,27732531,46.101.12.191,35261,rb-assurances.com.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732531,193.234.165.45,32621,giikwbhi.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27732532,34.231.70.109,39955,PhY.Jfn.AC.Lk,A,-E(0)DC,203.94.66.129
1591920000000,27732555,74.125.190.1,59923,etisalat.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732557,139.59.61.71,7623,poly-photography.com.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732563,2a03:2880:3011:afc2:face:b00c:0:229,23982,ou.ac.lk,MX,-E(0)DC,2402:d000:100c::129
1591920000000,27732576,216.244.66.243,40508,kidscart.lk,A,-E(0)D,203.94.66.129
1591920000000,27732588,2409:8020:2000:221::9,51545,slt.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27732590,46.101.12.191,13086,quick-garage.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27732604,13.52.1.0,21047,sip.pixalogy.lk,CNAME,-E(0)DC,203.94.66.129
1591920000000,27732608,2400:cb00:85:1024::ac44:5509,27326,hirunews.lk,DS,-E(0)D,2402:d000:100c::129
1591920000000,27732610,192.36.178.183,32855,giikxm.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
1591920000000,27732614,159.69.157.209,45195,silvermedcargo.lk,NS,+,203.94.66.129
1591920000000,27732614,46.21.103.12,40996,silverteaset.lk,NS,+,203.94.66.129
